kelime,gözlemler,gözlemler_list,onehot,tahmin_model,score_ev,score_okul
araba,0 1 1 0 0,"[0, 1, 1, 0, 0]","[[1 0]
 [0 1]
 [0 1]
 [1 0]
 [1 0]]",OKUL,-3.6407294948319278,-3.3912045962646498
ev,0 0,"[0, 0]","[[1 0]
 [1 0]]",OKUL,-1.1332037334377287,-0.653926467406664
okul,1 1 0,"[1, 1, 0]","[[0 1]
 [0 1]
 [1 0]]",EV,-3.024131748075689,-3.305523631593873
masa,0 1 0 1,"[0, 1, 0, 1]","[[1 0]
 [0 1]
 [1 0]
 [0 1]]",EV,-2.698832812052602,-2.7591245720868165
kitap,0 0 1 0 1,"[0, 0, 1, 0, 1]","[[1 0]
 [1 0]
 [0 1]
 [1 0]
 [0 1]]",OKUL,-3.458568053321319,-3.1146686140107587
sandalye,0 1 1 1 0 0,"[0, 1, 1, 1, 0, 0]","[[1 0]
 [0 1]
 [0 1]
 [0 1]
 [1 0]
 [1 0]]",EV,-3.9830168775822643,-4.09883015305946
kalem,0 0 1,"[0, 0, 1]","[[1 0]
 [1 0]
 [0 1]]",OKUL,-1.711470637999252,-1.6239425986369818
telefon,1 0 1 1 0 1,"[1, 0, 1, 1, 0, 1]","[[0 1]
 [1 0]
 [0 1]
 [0 1]
 [1 0]
 [0 1]]",EV,-4.773521620937235,-5.224281012958863
bilgisayar,1 1 0 0 1 0 1,"[1, 1, 0, 0, 1, 0, 1]","[[0 1]
 [0 1]
 [1 0]
 [1 0]
 [0 1]
 [1 0]
 [0 1]]",OKUL,-6.242907577943557,-6.231380695300547
çanta,0 1 0 0,"[0, 1, 0, 0]","[[1 0]
 [0 1]
 [1 0]
 [1 0]]",OKUL,-3.0765953176114307,-2.4844331619010838
ayakkabı,1 0 0 1 1 0,"[1, 0, 0, 1, 1, 0]","[[0 1]
 [1 0]
 [1 0]
 [0 1]
 [0 1]
 [1 0]]",OKUL,-5.097829815128459,-4.920238496116504
kapı,0 0 1 0,"[0, 0, 1, 0]","[[1 0]
 [1 0]
 [0 1]
 [1 0]]",OKUL,-2.94056250242052,-2.2975099931272966
pencere,0 1 1 0 1 0,"[0, 1, 1, 0, 1, 0]","[[1 0]
 [0 1]
 [0 1]
 [1 0]
 [0 1]
 [1 0]]",OKUL,-4.47662289338053,-4.265699888047366
bardak,0 0 1 1,"[0, 0, 1, 1]","[[1 0]
 [1 0]
 [0 1]
 [0 1]]",EV,-2.0575704668616672,-2.337060602455437
mutfak,0 1 0 1 0 1,"[0, 1, 0, 1, 0, 1]","[[1 0]
 [0 1]
 [1 0]
 [0 1]
 [1 0]
 [0 1]]",OKUL,-4.47662289338053,-4.248265559628385
